,date,time,comp,round,day,venue,result,gf,ga,opponent,xg,xga,poss,attendance,captain,formation,opp formation,referee,match report,notes,sh,sot,dist,fk,pk,pkatt,season,team
3,2024-08-30,18:30,Serie A,Matchweek 3,Fri,Away,W,1.0,0.0,Venezia,1.0,0.8,58.0,,Duván Zapata,3-5-2,3-4-3,Matteo Marcenaro,Match Report,,12,5,17.0,0.0,0,0,2022,Torino
4,2024-09-15,15:00,Serie A,Matchweek 4,Sun,Home,D,0.0,0.0,Lecce,0.4,1.6,53.0,,Duván Zapata,3-5-2,4-2-3-1,Andrea Colombo,Match Report,,5,0,17.4,1.0,0,0,2022,Torino
5,2024-09-20,20:45,Serie A,Matchweek 5,Fri,Away,W,3.0,2.0,Hellas Verona,2.2,0.5,70.0,,Duván Zapata,3-5-2,3-4-1-2,Livio Marinelli,Match Report,,15,3,18.9,1.0,0,1,2022,Torino
7,2024-09-29,12:30,Serie A,Matchweek 6,Sun,Home,L,2.0,3.0,Lazio,0.7,2.0,57.0,,Duván Zapata,3-5-2,4-2-3-1,Simone Sozza,Match Report,,12,7,19.5,1.0,0,0,2022,Torino
8,2024-10-05,20:45,Serie A,Matchweek 7,Sat,Away,L,2.0,3.0,Inter,1.6,2.4,20.0,,Duván Zapata,3-5-2,3-5-2,Matteo Marcenaro,Match Report,,6,4,21.8,0.0,1,1,2022,Torino
1,2024-08-19,18:30,Serie A,Matchweek 1,Mon,Away,W,4.0,0.0,Lecce,1.7,1.5,52.0,,Marten de Roon,3-4-1-2,4-2-3-1,,Match Report,,10,5,13.4,0.0,1,1,2022,Atalanta
2,2024-08-25,18:30,Serie A,Matchweek 2,Sun,Away,L,1.0,2.0,Torino,3.0,2.4,58.0,,Marten de Roon,3-4-3,3-5-2,,Match Report,,24,8,16.0,1.0,0,1,2022,Atalanta
3,2024-08-30,20:45,Serie A,Matchweek 3,Fri,Away,L,0.0,4.0,Inter,1.4,1.3,45.0,,Marten de Roon,3-4-3,3-5-2,Matteo Marchetti,Match Report,,11,1,17.1,0.0,0,0,2022,Atalanta
4,2024-09-15,15:00,Serie A,Matchweek 4,Sun,Home,W,3.0,2.0,Fiorentina,1.7,1.7,51.0,,Marten de Roon,3-4-3,3-4-3,Juan Luca Sacchi,Match Report,,13,7,13.6,0.0,0,0,2022,Atalanta
6,2024-09-24,20:45,Serie A,Matchweek 5,Tue,Home,L,2.0,3.0,Como,1.6,1.1,59.0,,Marten de Roon,3-4-1-2,4-2-3-1,Paride Tremolada,Match Report,,7,4,20.0,0.0,1,1,2022,Atalanta
7,2024-09-28,20:45,Serie A,Matchweek 6,Sat,Away,D,1.0,1.0,Bologna,2.0,0.1,64.0,,Marten de Roon,3-4-1-2,4-3-3,Antonio Rapuano,Match Report,,23,4,16.2,0.0,0,0,2022,Atalanta
9,2024-10-05,18:00,Serie A,Matchweek 7,Sat,Home,W,5.0,1.0,Genoa,3.6,0.7,63.0,,Marten de Roon,3-4-3,3-5-2,Daniele Chiffi,Match Report,,22,7,15.3,0.0,1,1,2022,Atalanta
